func_ov000_020773c0 kind:function(thumb,size=0x44) addr:0x020773c0
func_ov000_0207c5d4 kind:function(arm,size=0x48) addr:0x0207c5d4
func_ov000_0207c61c kind:function(arm,size=0x58) addr:0x0207c61c
func_ov000_0207c674 kind:function(arm,size=0x20) addr:0x0207c674
func_ov000_0207c694 kind:function(arm,size=0x58) addr:0x0207c694
func_ov000_0207c6ec kind:function(arm,size=0x5c) addr:0x0207c6ec
func_ov000_0207c748 kind:function(arm,size=0x28) addr:0x0207c748
func_ov000_0207c770 kind:function(thumb,size=0x28) addr:0x0207c770
func_ov000_0207c798 kind:function(arm,size=0x50) addr:0x0207c798
func_ov000_0207c7e8 kind:function(arm,size=0x1c) addr:0x0207c7e8
func_ov000_0207c804 kind:function(thumb,size=0xe0) addr:0x0207c804
func_ov000_0207c8e4 kind:function(thumb,size=0x38) addr:0x0207c8e4
func_ov000_0207c91c kind:function(arm,size=0xe4) addr:0x0207c91c
_ZN6Course18GetDungeonProgressEP14CourseProgress kind:function(arm,size=0x28) addr:0x0207ca00
_ZN6Course18func_ov00_0207ca28Eiii kind:function(arm,size=0x40) addr:0x0207ca28
_ZN6Course13SetCourseNameEPc kind:function(arm,size=0x10) addr:0x0207ca68
_ZN6Course18func_ov00_0207ca78Eici kind:function(arm,size=0x30) addr:0x0207ca78
_ZN6Course18func_ov00_0207caa8EiPiPc kind:function(arm,size=0x88) addr:0x0207caa8
_ZN6Course18func_ov00_0207cb30Ei kind:function(arm,size=0x4c) addr:0x0207cb30
_ZN6Course14FindMapGridPosEP5Vec2bPS_j kind:function(arm,size=0x5c) addr:0x0207cb7c
_ZN6Course13FindMapCenterEi kind:function(arm,size=0x10) addr:0x0207cbd8
_ZN6Course18func_ov00_0207cbe8Ei kind:function(arm,size=0x3c) addr:0x0207cbe8
_ZN6Course18func_ov00_0207cc24Ei kind:function(arm,size=0x48) addr:0x0207cc24
_ZN6Course18FindMapData_Unk_08Ei kind:function(arm,size=0x18) addr:0x0207cc6c
_ZN6Course14GetMCSFilePathEiii kind:function(arm,size=0xf0) addr:0x0207cc84
_ZN6Course14GetMRCFilePathEiii kind:function(arm,size=0xac) addr:0x0207cd74
_ZN6Course18func_ov00_0207ce20EiiPci kind:function(arm,size=0x2c) addr:0x0207ce20
_ZN6Course18func_ov00_0207ce4cEiiiPci kind:function(arm,size=0x5b8) addr:0x0207ce4c
_ZN6Course18func_ov00_0207d404Eiiii kind:function(arm,size=0x78) addr:0x0207d404
_ZN6Course22IsCurrentMapInMainGridEv kind:function(arm,size=0x14) addr:0x0207d47c
_ZN6Course12IsInMainGridEii kind:function(arm,size=0x54) addr:0x0207d490
_ZN6Course15IsMapInMainGridEj kind:function(arm,size=0x34) addr:0x0207d4e4
_ZN6Course15GetMapScreenPosEiPiS0_ kind:function(arm,size=0xac) addr:0x0207d518
_ZN6Course21GetScreenMapCellSizeXEv kind:function(arm,size=0x2c) addr:0x0207d5c4
_ZN6Course21GetScreenMapCellSizeYEv kind:function(arm,size=0x2c) addr:0x0207d5f0
_ZN6Course13Get_Unk_c8_00Ev kind:function(arm,size=0xc) addr:0x0207d61c
_ZN6Course13Get_Unk_c8_04Ev kind:function(arm,size=0xc) addr:0x0207d628
_ZN6Course23IsAdjacentMapOnMainGridEi kind:function(arm,size=0x78) addr:0x0207d634
_ZN6Course10HasGridMapEii kind:function(arm,size=0x40) addr:0x0207d6ac
_ZN6Course14GetAdjacentMapEi kind:function(arm,size=0x4c) addr:0x0207d6ec
_ZN6Course15GetAdjacentMapXEi kind:function(arm,size=0x20) addr:0x0207d738
_ZN6Course15GetAdjacentMapYEi kind:function(arm,size=0x20) addr:0x0207d758
_ZN6Course25FindCurrentMapData_Unk_04Ev kind:function(arm,size=0x10) addr:0x0207d778
_ZN6Course18FindMapData_Unk_04Ei kind:function(arm,size=0x1c) addr:0x0207d788
_ZN6Course18FindMapData_Unk_0cEi kind:function(arm,size=0x18) addr:0x0207d7a4
_ZN6Course18func_ov00_0207d7bcEv kind:function(arm,size=0x20) addr:0x0207d7bc
_ZN6Course8SetFlag0Ejb kind:function(arm,size=0x4c) addr:0x0207d7dc
_ZN6Course8GetFlag0Ej kind:function(arm,size=0x20) addr:0x0207d828
_ZN6Course8SetFlag1Ejb kind:function(arm,size=0x4c) addr:0x0207d848
_ZN6Course8SetFlag1Ej kind:function(arm,size=0x20) addr:0x0207d894
_ZN6Course15SetMapDataFlag0Eib kind:function(arm,size=0x20) addr:0x0207d8b4
_ZN6Course15GetMapDataFlag0Ei kind:function(arm,size=0x18) addr:0x0207d8d4
_ZN6Course15SetMapDataFlag1Eib kind:function(arm,size=0x20) addr:0x0207d8ec
_ZN6Course15GetMapDataFlag1Ei kind:function(arm,size=0x18) addr:0x0207d90c
_ZN6Course15SetMapDataFlag2Eib kind:function(arm,size=0x20) addr:0x0207d924
_ZN6Course15GetMapDataFlag2Ei kind:function(arm,size=0x18) addr:0x0207d944
_ZN6Course15SetMapDataFlag3Eib kind:function(arm,size=0x20) addr:0x0207d95c
_ZN6Course15GetMapDataFlag3Ei kind:function(arm,size=0x18) addr:0x0207d97c
_ZN6Course15SetMapDataFlag4Eib kind:function(arm,size=0x20) addr:0x0207d994
_ZN6Course15GetMapDataFlag4Ei kind:function(arm,size=0x18) addr:0x0207d9b4
_ZN6Course11FindMapDataEj kind:function(arm,size=0x48) addr:0x0207d9cc
_ZN6Course18FindCurrentMapDataEv kind:function(arm,size=0x24) addr:0x0207da14
_ZN7MapBaseD1Ev kind:function(arm,size=0xe0) addr:0x0207da38
_ZN15MapBase_Unk_180D1Ev kind:function(arm,size=0x4) addr:0x0207db18
_ZN7MapBaseD0Ev kind:function(arm,size=0xe8) addr:0x0207db1c
_ZN7MapBaseD2Ev kind:function(arm,size=0xe0) addr:0x0207dc04
_ZN7MapBase9SetBoundsEii kind:function(arm,size=0xb8) addr:0x0207dce4
_ZN15MapManager_Unk2D1Ev kind:function(arm,size=0x4) addr:0x0207dd9c
_ZN7MapBase14GetMapFilePathEPcii kind:function(arm,size=0x54) addr:0x0207dda0
_ZN7MapBase8vfunc_18Ev kind:function(arm,size=0x4) addr:0x0207ddf4
_ZN7MapBase18func_ov00_0207ddf8Eb kind:function(arm,size=0x70) addr:0x0207ddf8
_ZN7MapBase18func_ov00_0207de68Ei kind:function(arm,size=0x20) addr:0x0207de68
_ZN7MapBase18func_ov00_0207de88Ev kind:function(arm,size=0x18) addr:0x0207de88
_ZN7MapBase18func_ov00_0207dea0Eb kind:function(arm,size=0x1c0) addr:0x0207dea0
_ZN7MapBase8vfunc_b0Eii kind:function(arm,size=0x2c) addr:0x0207e060
_ZN7MapBase18func_ov00_0207e08cEPii kind:function(arm,size=0x64) addr:0x0207e08c
_ZN7MapBase18func_ov00_0207e0f0Ei kind:function(arm,size=0x19c) addr:0x0207e0f0
_ZN7MapBase18func_ov00_0207e28cEi kind:function(arm,size=0x1b8) addr:0x0207e28c
_ZN7MapBase8vfunc_b4Ev kind:function(arm,size=0x28) addr:0x0207e444
_ZN7MapBase8vfunc_48Ev kind:function(arm,size=0x1c) addr:0x0207e46c
_ZN7MapBase8vfunc_50Ev kind:function(arm,size=0x8) addr:0x0207e488
_ZN7MapBase8vfunc_54EP5Vec2b kind:function(arm,size=0x8) addr:0x0207e490
_ZN7MapBase8vfunc_58EP5Vec2bi kind:function(arm,size=0x8) addr:0x0207e498
_ZN7MapBase8vfunc_5cEv kind:function(arm,size=0x8) addr:0x0207e4a0
_ZN7MapBase8vfunc_60EPh kind:function(arm,size=0x8) addr:0x0207e4a8
_ZN7MapBase8vfunc_64Ev kind:function(arm,size=0x8) addr:0x0207e4b0
_ZN7MapBase8vfunc_68EP5Vec3pb kind:function(arm,size=0x488) addr:0x0207e4b8
_ZN7MapBase18func_ov00_0207e940EPc kind:function(arm,size=0x28) addr:0x0207e940
_ZN7MapBase18func_ov00_0207e968Ev kind:function(arm,size=0x4) addr:0x0207e968
_ZN7MapBase18func_ov00_0207e96cEv kind:function(arm,size=0x4) addr:0x0207e96c
_ZN7MapBase8vfunc_6cEiii kind:function(arm,size=0x4a4) addr:0x0207e970
_ZN7MapBase8vfunc_70EP5Vec3p kind:function(arm,size=0x1e0) addr:0x0207ee14
